blend_id,category,blend,instruction_count,mean_pairwise_distance,mean_genericness
calm_blend_15,calm,relief + thankful + relaxed,3,0.0257,0.5611
strong_blend_1,strong,proud + respected,3,0.028,0.562
strong_blend_2,strong,confident + empowered,3,0.0261,0.5835
strong_blend_3,strong,appreciated + respected,3,0.0253,0.5429
strong_blend_4,strong,proud + confident,3,0.0361,0.548
strong_blend_5,strong,empowered + confident + respected,3,0.0314,0.5687
strong_blend_6,strong,proud + appreciated,3,0.0444,0.5527
strong_blend_7,strong,respected + empowered + confident,3,0.033,0.5802
strong_blend_8,strong,appreciated + empowered,3,0.0407,0.5788
strong_blend_9,strong,proud + respected + confident,3,0.0198,0.551
strong_blend_10,strong,confident + appreciated,3,0.031,0.5807
strong_blend_11,strong,proud + empowered,3,0.0238,0.5487
strong_blend_12,strong,respected + appreciated + confident,3,0.0355,0.5757
strong_blend_13,strong,proud + confident + empowered,3,0.0385,0.5657
strong_blend_14,strong,appreciated + respected + empowered,3,0.0249,0.5604
strong_blend_15,strong,proud + appreciated + respected + confident,3,0.0161,0.5772
surprised_blend_1,surprised,surprised,3,0.0441,0.5114
